name,category,latitude,longitude,rating,popularity
Fouquet's Abu Dhabi,French Restaurant,24.534417,54.3982,8.4,0.961944217687862
Aptitude Café - Cultural District,Café,24.533689,54.398401,7.9,0.9815545316075194
Bedashing Beauty Lounge,Nail Salon,24.440033,54.598936,7.9,0.9325406625974667
"Bedashing Beauty Lounge, Khalifa A",Nail Salon,24.439825,54.598917,7.7,0.7731362241117736
Espression Lavazza,Coffee Shop,24.43976,54.597984,8.0,0.956920580037399
Ibsais Sweets,Dessert Shop,24.43883,54.594854,8.2,0.9051970504180926
Food Trucks,Food Truck,24.435395,54.577496,8.8,0.9950892680277218
Saddle,Food Truck,24.434586,54.576942,8.5,0.9958541889415865
Ushk Cafe,Café,24.434369,54.576807,6.3,0.7490230806717041
My City Centre Masdar,Shopping Mall,24.42997,54.620777,8.2,0.9974372911171941
ماكدونالدز,Burger Joint,24.429672,54.619475,6.9,0.9778408632573609
Hookah Lounge,Hookah Bar,24.471771,54.324394,8.4,0.9127474155876231
Bill's Farm,Turkish Restaurant,24.472372,54.324512,7.1,0.9531101153724023
Corniche Boardwalk,Beach,24.46829,54.323365,8.7,0.9632360723988286
Casper & Gambini's,Café,24.472372,54.324512,6.9,0.8763010267085347
2Xl,Furniture and Home Store,24.475176,54.321897,8.1,0.9532512436933281
Arabica,Coffee Shop,24.475475,54.322188,7.9,0.9801361888296934
Starbucks (ستاربكس),Coffee Shop,24.475318,54.320984,7.7,0.9929083018734784
Pappa Roti,Coffee Shop,24.475493,54.321776,7.6,0.8908372437638923
La Brioche,Café,24.496198,54.40736,7.4,0.9812079282458566
Waitrose & Partners,Grocery Store / Supermarket,24.496073,54.40768,7.8,0.994044342025956
ستاربكس,Coffee Shop,24.496131,54.407762,7.5,0.9834834758476503
Leopold's of London,Café,24.495798,54.40673,7.2,0.9111939578343095
Boudoir Beauty Lounge,Massage Clinic,24.49614,54.407785,7.2,0.8274463697378418
Hanoi Naturally,Vietnamese Restaurant,24.495798,54.40673,7.2,0.9559665430005443
First Clique Marina Square,Café,24.491451,54.393578,8.1,0.964047560244152
Geant Supermarket,Grocery Store / Supermarket,24.490866,54.394106,5.7,0.14924319937903538
Geant Express,Convenience Store,24.491718,54.393585,5.7,0.8353738136400523
ستاربكس,Coffee Shop,24.496131,54.407762,7.5,0.9834834758476503
Boudoir Beauty Lounge,Massage Clinic,24.49614,54.407785,7.2,0.8274463697378418
La Brioche,Café,24.496198,54.40736,7.4,0.9812079282458566
Waitrose & Partners,Grocery Store / Supermarket,24.496073,54.40768,7.8,0.994044342025956
The Boutik Mall,Retail,24.496073,54.40768,6.7,0.9937320274874554
صب واي,Deli,24.496173,54.407424,6.8,0.15490676256899294
Leopold's of London,Café,24.495798,54.40673,7.2,0.9111939578343095
Corniche (الكورنيش),Beach,24.485554,54.348848,9.2,0.9951310729280598
Rain Café,Café,24.487391,54.351736,7.8,0.9879688106410754
Arabica,Coffee Shop,24.4878,54.352069,8.4,0.9680344353103059
مطعم جار القمر,Comfort Food Restaurant,24.486473,54.354218,7.3,0.47842500793846804
Sushi Story,Japanese Restaurant,24.481588,54.351395,8.7,0.9614719683872561
Jar Al Qamar,Mediterranean Restaurant,24.487149,54.353732,6.9,0.8682214303355326
مروش,Middle Eastern Restaurant,24.487583,54.352761,6.2,0.8792294393677451
مطعم ومقصف الريان,Breakfast Spot,24.471587,54.347035,8.1,0.8511449035035106
Qasmieh Al Fawal,Middle Eastern Restaurant,24.471854,54.347455,8.7,0.9801714709099248
ملك الشاي,Coffee Shop,24.472038,54.34795,8.1,0.9372684613484811
Arabisque,Hookah Bar,24.470376,54.346682,7.3,0.23871855484599372
Shawarma Al Rannah,Shawarma Restaurant,24.470986,54.347743,7.4,0.9286596337720072
Sushi Central,Japanese Restaurant,24.472522,54.347679,7.2,0.877183078714321
Al Afiya Bath & Saloon,Spa,24.469066,54.346997,8.6,0.9924849169107011
Miss J Cafe,Café,24.47162,54.345022,7.2,0.8674452245704407
Horizon at Khalidiya Palace Rayhaan by Rotana,Buffet,24.455797,54.31896,7.5,0.8119817944466006
Cas' Castle,Speakeasy,24.456288,54.318755,7.4,0.1826200472779875
Khalidiya Palace Private Beach,Beach,24.455445,54.318566,7.7,0.8938715026637971
Sushi Central,Japanese Restaurant,24.50755,54.376616,8.3,0.8482870550047631
كوستا كوفي,Coffee Shop,24.506472,54.376058,6.7,0.9326817909183925
Le Boulanger,Café,24.505261,54.375291,7.3,0.8024203507038775
Heritage Park,Park,24.50623,54.37268,7.6,0.9429488762657446
Eggcellent Cafe,Café,24.451175,54.333759,8.4,0.9748923594361517
Napo Ristorante,Italian Restaurant,24.452015,54.334343,8.5,0.9888898122577305
Abu Tafish,Seafood Restaurant,24.451389,54.334288,7.2,0.9758951400282758
OZO Restaurant,Japanese Restaurant,24.451857,54.33461,7.3,0.9862202477084271
Brunch & Cake Marsa Al Bateen,Restaurant,24.450555,54.335868,7.9,0.9805974897475352
Market At Edition,Theme Restaurant,24.452274,54.336298,8.2,0.9867104012587105
Caffeino,Coffee Shop,24.452215,54.336309,7.9,0.9862056917071202
No. Fifty Seven Boutique Cafe,Café,24.451606,54.333184,6.6,0.9620214741215766
VOX Cinemas (ڤوكس سينما),Movie Theater,24.464843,54.328584,8.5,0.981194651236637
Nation Galleria,Shopping Plaza,24.464784,54.328596,8.4,0.998588716790742
Cafe Bateel,Café,24.464442,54.328368,8.3,0.9425960554634302
